iter	Passed	Remaining
420	2105	2895
421	2109	2889
422	2113	2883
423	2117	2877
424	2121	2870
425	2125	2864
426	2130	2858
427	2134	2852
428	2138	2846
429	2142	2840
430	2147	2834
431	2151	2828
432	2155	2822
433	2159	2816
434	2163	2810
435	2167	2803
436	2171	2798
437	2176	2792
438	2180	2786
439	2185	2780
440	2189	2775
441	2193	2769
442	2198	2764
443	2202	2758
444	2208	2754
445	2213	2750
446	2221	2747
447	2226	2742
448	2230	2736
449	2234	2730
450	2238	2725
451	2242	2718
452	2246	2712
453	2250	2707
454	2255	2701
455	2259	2695
456	2263	2689
457	2267	2683
458	2271	2677
459	2276	2671
460	2280	2665
461	2284	2660
462	2288	2654
463	2292	2648
464	2296	2642
465	2300	2636
466	2305	2630
467	2309	2624
468	2313	2619
469	2317	2613
470	2321	2607
471	2325	2601
472	2329	2595
473	2333	2589
474	2338	2585
475	2343	2580
476	2348	2574
477	2352	2569
478	2356	2563
479	2363	2559
480	2367	2555
481	2372	2549
482	2376	2543
483	2380	2538
484	2386	2533
485	2390	2528
486	2394	2522
487	2399	2517
488	2403	2512
489	2408	2506
490	2412	2500
491	2416	2494
492	2420	2489
493	2424	2483
494	2428	2477
495	2433	2472
496	2437	2466
497	2441	2460
498	2445	2455
499	2450	2450
500	2454	2444
501	2458	2439
502	2462	2433
503	2467	2427
504	2471	2422
505	2475	2416
506	2479	2411
507	2483	2405
508	2488	2400
509	2492	2394
510	2496	2389
511	2500	2383
512	2504	2378
513	2508	2372
514	2513	2366
515	2517	2361
516	2521	2355
517	2525	2350
518	2529	2344
519	2534	2339
520	2540	2335
521	2545	2331
522	2551	2327
523	2557	2323
524	2563	2318
525	2567	2313
526	2571	2308
527	2575	2302
528	2579	2297
529	2584	2291
530	2588	2286
531	2592	2280
532	2596	2275
533	2601	2269
534	2605	2264
535	2609	2259
536	2613	2253
537	2618	2248
538	2622	2243
539	2626	2237
540	2631	2232
541	2635	2227
542	2639	2221
543	2643	2216
544	2648	2211
545	2653	2206
546	2657	2200
547	2661	2195
548	2666	2190
549	2670	2184
550	2674	2179
551	2679	2174
552	2683	2169
553	2687	2163
554	2692	2158
555	2696	2153
556	2700	2148
557	2705	2142
558	2709	2137
559	2713	2131
560	2717	2126
561	2721	2120
562	2725	2115
563	2729	2110
564	2734	2105
565	2738	2099
566	2742	2094
567	2746	2088
568	2750	2083
569	2755	2078
570	2759	2073
571	2763	2067
572	2771	2065
573	2777	2061
574	2783	2057
575	2787	2052
576	2791	2046
577	2796	2041
578	2800	2036
579	2804	2030
580	2808	2025
581	2812	2020
582	2817	2015
583	2821	2009
584	2825	2004
585	2829	1999
586	2833	1993
587	2837	1988
588	2842	1983
589	2846	1978
590	2850	1973
591	2855	1967
592	2859	1962
593	2863	1957
594	2867	1952
595	2872	1946
596	2876	1941
597	2880	1936
598	2885	1931
599	2889	1926
600	2895	1922
601	2905	1920
602	2910	1916
603	2920	1914
604	2925	1910
605	2933	1907
606	2939	1902
607	2944	1898
608	2948	1893
609	2952	1887
610	2957	1882
611	2961	1877
612	2966	1872
613	2975	1870
614	2981	1866
615	2987	1862
616	2992	1857
617	2998	1853
618	3004	1849
619	3010	1844
620	3018	1842
621	3024	1837
622	3028	1832
623	3032	1827
624	3036	1822
625	3041	1816
626	3045	1811
627	3049	1806
628	3054	1801
629	3058	1796
630	3062	1791
631	3066	1785
632	3071	1780
633	3075	1775
634	3078	1769
635	3082	1764
636	3087	1759
637	3091	1753
638	3095	1748
639	3099	1743
640	3104	1738
641	3108	1733
642	3113	1728
643	3117	1723
644	3122	1718
645	3126	1713
646	3130	1708
647	3134	1702
648	3139	1697
649	3143	1692
650	3147	1687
651	3151	1682
652	3158	1678
653	3162	1672
654	3166	1667
655	3170	1662
656	3175	1657
657	3179	1652
658	3183	1647
659	3187	1642
660	3191	1636
661	3195	1631
662	3199	1626
663	3204	1621
664	3208	1616
665	3213	1611
666	3219	1607
667	3228	1604
668	3232	1599
669	3237	1594
670	3241	1589
671	3245	1584
672	3249	1579
673	3254	1574
674	3258	1568
675	3262	1563
676	3266	1558
677	3270	1553
678	3274	1548
679	3278	1543
680	3283	1537
681	3287	1532
682	3291	1527
683	3295	1522
684	3299	1517
685	3304	1512
686	3308	1507
687	3312	1502
688	3316	1497
689	3320	1491
690	3325	1486
691	3329	1481
692	3333	1476
693	3337	1471
694	3341	1466
695	3345	1461
696	3350	1456
697	3355	1451
698	3359	1446
699	3363	1441
700	3367	1436
701	3372	1431
702	3376	1426
703	3380	1421
704	3385	1416
705	3389	1411
706	3393	1406
707	3398	1401
708	3402	1396
709	3406	1391
710	3410	1386
711	3414	1381
712	3418	1376
713	3422	1370
714	3426	1365
715	3430	1360
716	3434	1355
717	3438	1350
718	3443	1345
719	3447	1340
720	3451	1335
721	3455	1330
722	3460	1325
723	3464	1320
724	3468	1315
725	3472	1310
726	3477	1305
727	3482	1301
728	3486	1296
729	3491	1291
730	3495	1286
731	3499	1281
732	3503	1276
733	3507	1271
734	3511	1266
735	3515	1260
736	3519	1255
737	3523	1250
738	3527	1245
739	3531	1240
740	3535	1235
741	3539	1230
742	3543	1225
743	3548	1220
744	3552	1215
745	3556	1211
746	3561	1206
747	3565	1201
748	3569	1196
749	3573	1191
750	3578	1186
751	3582	1181
752	3586	1176
753	3590	1171
754	3595	1166
755	3599	1161
756	3603	1156
757	3607	1151
758	3612	1146
759	3616	1142
760	3620	1137
761	3624	1132
762	3629	1127
763	3633	1122
764	3637	1117
765	3641	1112
766	3645	1107
767	3650	1102
768	3654	1097
769	3658	1092
770	3662	1087
771	3666	1082
772	3671	1078
773	3675	1073
774	3679	1068
775	3683	1063
776	3688	1058
777	3692	1053
778	3696	1048
779	3700	1043
780	3705	1038
781	3709	1034
782	3713	1029
783	3718	1024
784	3722	1019
785	3727	1014
786	3731	1009
787	3736	1005
788	3740	1000
789	3744	995
790	3749	990
791	3753	985
792	3757	980
793	3761	975
794	3766	971
795	3770	966
796	3774	961
797	3778	956
798	3783	951
799	3787	946
800	3791	941
801	3795	937
802	3799	932
803	3803	927
804	3808	922
805	3812	917
806	3816	912
807	3820	907
808	3824	903
809	3829	898
810	3833	893
811	3838	888
812	3842	883
813	3846	878
814	3851	874
815	3855	869
816	3859	864
817	3863	859
818	3867	854
819	3872	850
820	3876	845
821	3880	840
822	3884	835
823	3888	830
824	3892	825
825	3897	820
826	3901	816
827	3905	811
828	3909	806
829	3913	801
830	3918	796
831	3922	791
832	3926	787
833	3930	782
834	3935	777
835	3939	772
836	3943	767
837	3947	763
838	3951	758
839	3955	753
840	3959	748
841	3963	743
842	3968	739
843	3972	734
844	3976	729
845	3980	724
846	3984	719
847	3988	714
848	3992	710
849	3997	705
850	4001	700
851	4005	695
852	4009	690
853	4013	686
854	4017	681
855	4021	676
856	4025	671
857	4029	666
858	4034	662
859	4038	657
860	4043	652
861	4047	647
862	4051	643
863	4055	638
864	4059	633
865	4063	628
866	4067	624
867	4072	619
868	4076	614
869	4080	609
870	4084	604
871	4088	600
872	4092	595
873	4096	590
874	4100	585
875	4104	581
876	4109	576
877	4113	571
878	4117	566
879	4121	562
880	4125	557
881	4129	552
882	4133	547
883	4138	543
884	4142	538
885	4146	533
886	4150	528
887	4154	524
888	4158	519
889	4162	514
890	4166	509
891	4171	505
892	4175	500
893	4179	495
894	4183	490
895	4187	486
896	4191	481
897	4196	476
898	4200	471
899	4204	467
900	4208	462
901	4212	457
902	4216	452
903	4222	448
904	4228	443
905	4238	439
906	4242	435
