iter	Passed	Remaining
399	69282	17320
400	69439	17143
401	69622	16972
402	69798	16800
403	69967	16625
404	70128	16449
405	70313	16279
406	70486	16106
407	70665	15934
408	70846	15762
409	71022	15590
410	71196	15417
411	71372	15244
412	71550	15072
413	71740	14902
414	71899	14726
415	72068	14552
416	72237	14378
417	72396	14202
418	72564	14027
419	72751	13857
420	72913	13682
421	73092	13509
422	73275	13338
423	73453	13166
424	73663	12999
425	73842	12827
426	74006	12652
427	74162	12475
428	74331	12301
429	74518	12130
430	74688	11957
431	74866	11784
432	75023	11608
433	75190	11434
434	75358	11260
435	75533	11087
436	75702	10913
437	75884	10741
438	76055	10568
439	76236	10395
440	76413	10223
441	76576	10048
442	76748	9875
443	76925	9702
444	77102	9529
445	77290	9358
446	77491	9187
447	77673	9015
448	77905	8849
449	78084	8676
450	78237	8500
451	78401	8325
452	78566	8151
453	78748	7978
454	78926	7805
455	79099	7632
456	79268	7458
457	79455	7286
458	79638	7113
459	79819	6940
460	80012	6768
461	80175	6594
462	80333	6419
463	80510	6246
464	80732	6076
465	80892	5902
466	81065	5728
467	81263	5556
468	81451	5383
469	81625	5210
470	81804	5036
471	81975	4862
472	82140	4688
473	82342	4516
474	82523	4343
475	82714	4170
476	82898	3997
477	83119	3825
478	83294	3651
479	83454	3477
480	83609	3302
481	83799	3129
482	83958	2955
483	84134	2781
484	84298	2607
485	84475	2433
486	84665	2260
487	84843	2086
488	85019	1912
489	85203	1738
490	85371	1564
491	85533	1390
492	85699	1216
493	85861	1042
494	86016	868
495	86185	695
496	86346	521
497	86506	347
498	86695	173
499	86884	0
