iter	Passed	Remaining
399	82047	20511
400	82245	20305
401	82448	20099
402	82721	19910
403	82919	19703
404	83118	19497
405	83310	19288
406	83509	19082
407	83711	18876
408	83903	18667
409	84095	18459
410	84297	18254
411	84487	18045
412	84678	17837
413	84878	17631
414	85067	17423
415	85274	17218
416	85534	17024
417	85732	16818
418	85922	16610
419	86123	16404
420	86318	16197
421	86588	16004
422	86848	15809
423	87062	15605
424	87252	15397
425	87434	15188
426	87642	14983
427	87844	14777
428	88052	14572
429	88249	14366
430	88455	14161
431	88643	13953
432	88833	13745
433	89022	13538
434	89203	13329
435	89388	13121
436	89577	12913
437	89765	12706
438	89955	12499
439	90152	12293
440	90417	12096
441	90631	11892
442	90824	11686
443	91013	11479
444	91205	11272
445	91404	11066
446	91614	10862
447	91814	10657
448	92031	10453
449	92277	10253
450	92556	10056
451	92761	9850
452	92970	9645
453	93175	9440
454	93370	9234
455	93557	9027
456	93747	8820
457	93934	8614
458	94124	8407
459	94326	8202
460	94513	7995
461	94701	7789
462	94890	7583
463	95081	7376
464	95307	7173
465	95565	6972
466	95752	6766
467	95942	6560
468	96136	6354
469	96341	6149
470	96546	5944
471	96751	5739
472	96939	5533
473	97129	5327
474	97316	5121
475	97502	4916
476	97736	4712
477	97992	4510
478	98219	4306
479	98451	4102
480	98644	3896
481	98831	3690
482	99017	3485
483	99203	3279
484	99400	3074
485	99591	2868
486	99783	2663
487	99969	2458
488	100158	2253
489	100414	2049
490	100640	1844
491	100835	1639
492	101027	1434
493	101228	1229
494	101428	1024
495	101644	819
496	101848	614
497	102041	409
498	102238	204
499	102471	0
